,sex,age,l,m,s,p5,p25,p50,p75,p95
2031,2,174,-0.0668,7.1903,0.12219,5.888995634621891,6.62296416764518,7.1903,7.809777698056917,8.802880051360072
2032,2,175,-0.0678,7.2029,0.12217,5.8996237836016245,6.634681359863007,7.2029,7.823383884708671,8.818193139146233
2033,2,176,-0.0689,7.2154,0.12215,5.910182723476997,6.6463090525943205,7.2154,7.836883846749616,8.833401503388055
2034,2,177,-0.0699,7.2279,0.12214,5.9206349066969235,6.657890231015819,7.2279,7.850434100347447,8.848738894496313
2035,2,178,-0.0709,7.2403,0.12212,5.931102037129487,6.6694242409091355,7.2403,7.863822291836337,8.863806064374051
2036,2,179,-0.0719,7.2527,0.1221,5.9415701380774175,6.680958618938704,7.2527,7.877210196123496,8.878872776429688
2037,2,180,-0.0729,7.265,0.12208,5.951957282677249,6.69240124664055,7.265,7.890489203514738,8.893816610241394
2038,2,181,-0.0739,7.2772,0.12207,5.962166821828152,6.7037071767836,7.2772,7.9037129531388315,8.908786312393651
2039,2,182,-0.0749,7.2894,0.12205,5.972473800913402,6.715058338735552,7.2894,7.916882877643453,8.923607097095822
2040,2,183,-0.0759,7.3016,0.12204,5.982684801414982,6.7263647752562985,7.3016,7.9301063429261,8.938576728790645
2041,2,184,-0.0769,7.3136,0.12202,5.992829653935346,6.737532341387735,7.3136,7.943058581673196,8.953152049215628
2042,2,185,-0.0779,7.3256,0.12201,6.002878220940071,6.748655033696337,7.3256,7.956064550533906,8.967876772186466
2043,2,186,-0.0789,7.3376,0.122,6.012927432592082,6.759777939254277,7.3376,7.969070425645404,8.982601597726374
2044,2,187,-0.0799,7.3495,0.12198,6.02299284432608,6.770854302204626,7.3495,7.981913407753148,8.997053705721507
2045,2,188,-0.0808,7.3614,0.12197,6.032949647773238,6.781883301625395,7.3614,7.994807668799358,9.0116375061621
2046,2,189,-0.0818,7.3732,0.12196,6.042837001096701,6.792822655441084,7.3732,8.007595957989409,9.026117493256283
2047,2,190,-0.0828,7.3849,0.12195,6.052643026488442,6.803670089144137,7.3849,8.020275551055226,9.040475162299877
2048,2,191,-0.0837,7.3966,0.12194,6.062437751059976,6.814515446449603,7.3966,8.032952310273709,9.054814301242024
2049,2,192,-0.0847,7.4082,0.12192,6.072261258580911,6.82531687821166,7.4082,8.045468466091682,9.068897969279027
2050,2,193,-0.0857,7.4198,0.12191,6.0819873126621165,6.836072866386666,7.4198,8.058039087681964,9.083133215618094
2051,2,194,-0.0866,7.4314,0.1219,6.091702018582564,6.846826767576422,7.4314,8.070606864141547,9.097349840793846
2052,2,195,-0.0875,7.4429,0.12189,6.101335339646092,6.857488733607991,7.4429,8.083065940226604,9.111444084088419
2053,2,196,-0.0885,7.4543,0.12188,6.110899262544004,6.868061060149511,7.4543,8.095419079287428,9.125434724740721
2054,2,197,-0.0894,7.4657,0.12188,6.120352883800131,6.878585230032789,7.4657,8.107824453558816,9.139559725163542
2055,2,198,-0.0904,7.477,0.12187,6.129835887983732,6.889065753157712,7.477,8.120068897003774,9.153428371313634
2056,2,199,-0.0913,7.4883,0.12186,6.1393074543963735,6.899544168598233,7.4883,8.132310476732314,9.16727823782622
2057,2,200,-0.0922,7.4995,0.12185,6.148697605377584,6.909930639428092,7.4995,8.144443359603253,9.1810057172431
2058,2,201,-0.0931,7.5107,0.12184,6.158088323272384,6.920317302375944,7.5107,8.156576146218287,9.194733230628213
2059,2,202,-0.094,7.5219,0.12184,6.167380038332539,6.930657769006229,7.5219,8.168764362760031,9.208615152945697
2060,2,203,-0.095,7.533,0.12183,6.1767018540988685,6.940954928573135,7.533,8.18079123501685,9.222239565052359
2061,2,204,-0.0959,7.544,0.12182,6.1859301521331975,6.9511578204250455,7.544,8.19270662571385,9.235722618379977
2062,2,205,-0.0968,7.5551,0.12182,6.195141042984406,6.96140645949174,7.5551,8.204786304177912,9.249483277955669
2063,2,206,-0.0977,7.566,0.12181,6.204288320015201,6.971517521434945,7.566,8.21659299122592,9.2628442245002
2064,2,207,-0.0986,7.5769,0.12181,6.213335924878491,6.981582058126712,7.5769,8.228455537472412,9.27636085967451
2065,2,208,-0.0995,7.5878,0.1218,6.222484169929821,6.991693428919326,7.5878,8.240262121006515,9.289722123603923
2066,2,209,-0.1003,7.5986,0.1218,6.231438298529625,7.0016636650798,7.5986,8.252013318238534,9.303097970172484
2067,2,210,-0.1012,7.6094,0.12179,6.240505484646134,7.011683195942792,7.6094,8.263711196044605,9.31633709033364
2068,2,211,-0.1021,7.6202,0.12179,6.249472478378897,7.02165594486202,7.6202,8.275465269687057,9.329732905688907
2069,2,212,-0.103,7.6309,0.12179,6.258357746135007,7.031536605976806,7.6309,8.287110818577183,9.343006821100143
2070,2,213,-0.1039,7.6416,0.12178,6.267344284281422,7.041464416184756,7.6416,8.298699985547529,9.356124101763635
2071,2,214,-0.1047,7.6522,0.12178,6.2761359813921365,7.051250755919778,7.6522,8.310234163772627,9.369257055578188
2072,2,215,-0.1056,7.6628,0.12178,6.28494019265431,7.0610395009190485,7.6628,8.321771246984097,9.382409840785744
2073,2,216,-0.1065,7.6733,0.12177,6.2937640249931786,7.070783433261575,7.6733,8.333143101192029,9.395282802418729
2074,2,217,-0.1073,7.6838,0.12177,6.302474609847472,7.0804778446822585,7.6838,8.344568800524973,9.408294521865477
2075,2,218,-0.1082,7.6943,0.12177,6.311197746882678,7.090174669510149,7.6943,8.355997416296322,9.421326159959127
2076,2,219,-0.109,7.7047,0.12177,6.319826819679919,7.099777035334403,7.7047,8.367314648338883,9.434216385487696
2077,2,220,-0.1099,7.7151,0.12177,6.328468470127904,7.109381820026231,7.7151,8.37863480450862,9.44712658828268
2078,2,221,-0.1107,7.7254,0.12177,6.337016022566829,7.118892138691307,7.7254,8.38984356744537,9.45989530795489
2079,2,222,-0.1116,7.7357,0.12177,6.345576177785746,7.128404881620937,7.7357,8.401055262126766,9.472684063062664
2080,2,223,-0.1124,7.746,0.12176,6.354226448401534,7.137963005552711,7.746,8.41220688720883,9.485294107325037
2081,2,224,-0.1132,7.7562,0.12176,6.362692835119697,7.147381384081382,7.7562,8.423307162766173,9.497941522230267
2082,2,225,-0.1141,7.7664,0.12176,6.371171861543018,7.15680219478281,7.7664,8.434410381198887,9.51060905745471
2083,2,226,-0.1149,7.7766,0.12176,6.379638744859804,7.166220673216274,7.7766,8.445510786039604,9.523257403208689
2084,2,227,-0.1157,7.7867,0.12177,6.387921138715029,7.1754991062047475,7.7867,8.456560237268967,9.535944308905929
2085,2,228,-0.1165,7.7968,0.12177,6.396306345582632,7.1848254705849754,7.7968,8.467552243585088,9.548471326526148
2086,2,229,-0.1173,7.8068,0.12177,6.404609752182677,7.194059731749312,7.8068,8.47843570875422,9.560876322374838
2087,2,230,-0.1181,7.8169,0.12177,6.412995434891267,7.2033861918424344,7.8169,8.489427838915978,9.57340423172212
2088,2,231,-0.119,7.8268,0.12177,6.4212297549745685,7.212530797885531,7.8268,8.500205728327307,9.585707498295196
