,sex,age,l,m,s,p5,p25,p50,p75,p95
217,1,217,0.1118,8.3404,0.10898,6.958990646740627,7.7469683382379655,8.3404,8.973866940586356,9.960176048154556
218,1,218,0.1115,8.3513,0.10897,6.968236750557542,7.757151896959037,8.3513,8.985541902788315,9.97307890617816
219,1,219,0.1111,8.3621,0.10896,6.977411307185736,7.767244842236705,8.3621,8.997111534330458,9.98587765696909
220,1,220,0.1107,8.3729,0.10895,6.986586267204303,7.777337942843297,8.3729,9.008681032326027,9.998676137079109
221,1,221,0.1103,8.3837,0.10894,6.995761630548963,7.787431198767754,8.3837,9.020250396764048,10.011474346445514
222,1,222,0.1099,8.3944,0.10894,7.004736417302673,7.797378700665064,8.3944,9.031772465728265,10.024314570004027
223,1,223,0.1096,8.4051,0.10893,7.0138174330807885,7.8073771807473085,8.4051,9.043231635733791,10.03697734298619
224,1,224,0.1092,8.4157,0.10892,7.022826946917138,7.817285053192847,8.4157,9.05458549393979,10.049536113305315
225,1,225,0.1088,8.4263,0.10891,7.031836856043866,7.827193077984279,8.4263,9.065939220968989,10.06209461737797
226,1,226,0.1084,8.4369,0.10891,7.040729056396758,7.837047970564678,8.4369,9.07735355876395,10.074815413220637
227,1,227,0.1081,8.4474,0.1089,7.049644552103047,7.846861204032465,8.4474,9.08859708468225,10.087238412366359
228,1,228,0.1077,8.4578,0.10889,7.058488580203724,7.856583833942722,8.4578,9.09973531411064,10.09955749230111
229,1,229,0.1073,8.4683,0.10889,7.0672979274556855,7.866346026227005,8.4683,9.111041976358367,10.112158913205052
230,1,230,0.107,8.4787,0.10888,7.0761309483935815,7.876066744830987,8.4787,9.122177589587654,10.124461848360815
231,1,231,0.1066,8.489,0.10887,7.08489252966975,7.88569686380701,8.489,9.133207916999233,10.13666092506144
232,1,232,0.1062,8.4993,0.10887,7.093535552997321,7.895273459138152,8.4993,9.144299316711882,10.149023562113184
233,1,233,0.1059,8.5096,0.10886,7.102286082907598,7.904901656898749,8.5096,9.155327021971168,10.161206441985502
234,1,234,0.1055,8.5198,0.10886,7.1108459845514265,7.914385460230499,8.5198,9.166310802367027,10.173449758041267
235,1,235,0.1051,8.53,0.10885,7.119525344704358,7.9239231453734575,8.53,9.177233180870525,10.18552878896591
236,1,236,0.1048,8.5401,0.10885,7.127990414880409,7.933311997105256,8.5401,9.188106894615178,10.197636859596727
237,1,237,0.1044,8.5502,0.10884,7.1365869168038385,7.942757013389715,8.5502,9.198921506018158,10.209596158633868
